dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,38.284,0.0
bf16,bf16,1,4096,23.467,0.003
bf16,bf16,1,8192,24.906,0.005
bf16,bf16,1,16384,24.393,0.01
bf16,bf16,1,32768,37.377,0.013
bf16,bf16,1,65536,59.619,0.016
bf16,bf16,1,131072,102.05,0.019
bf16,bf16,16,1024,23.03,0.01
bf16,bf16,16,4096,58.493,0.016
bf16,bf16,16,8192,100.547,0.019
bf16,bf16,16,16384,183.461,0.021
bf16,bf16,16,32768,350.206,0.022
bf16,bf16,16,65536,682.446,0.022
bf16,bf16,16,131072,1348.142,0.023
bf16,bf16,32,1024,39.858,0.012
bf16,bf16,32,4096,100.804,0.019
bf16,bf16,32,8192,183.429,0.021
bf16,bf16,32,16384,349.464,0.022
bf16,bf16,32,32768,682.003,0.022
bf16,bf16,32,65536,1346.985,0.023
bf16,bf16,32,131072,2678.261,0.023
bf16,bf16,64,1024,57.641,0.016
bf16,bf16,64,4096,192.99,0.02
bf16,bf16,64,8192,346.017,0.022
bf16,bf16,64,16384,677.463,0.022
bf16,bf16,64,32768,1343.053,0.023
bf16,bf16,64,65536,2671.498,0.023
bf16,bf16,64,131072,5337.056,0.023
bf16,bf16,128,1024,106.132,0.018
bf16,bf16,128,4096,379.348,0.02
bf16,bf16,128,8192,743.46,0.02
bf16,bf16,128,16384,1364.35,0.022
bf16,bf16,128,32768,2714.835,0.022
bf16,bf16,128,65536,5402.807,0.022
bf16,bf16,256,1024,199.895,0.019
bf16,bf16,256,4096,756.359,0.02
bf16,bf16,256,8192,1481.705,0.021
bf16,bf16,256,16384,2729.79,0.022
bf16,bf16,512,1024,385.719,0.02
bf16,bf16,512,4096,1376.615,0.022
bf16,bf16,512,8192,2724.605,0.022
